ticket_id,ticket_text,category,priority
171,Not receiving OTP on my registered number.,Account,Low
172,Order shows delivered but I have not received it.,Delivery,High
173,Received a damaged product.,Delivery,Medium
174,Delivery address needs to be changed.,Delivery,High
175,Tracking status has not been updated.,Delivery,Medium
176,Unable to upload files to the dashboard.,Technical,High
177,Refund has not been processed yet.,Billing,High
178,Refund has not been processed yet.,Billing,High
179,Received a damaged product.,Delivery,High
180,Email verification link is not working.,Account,Low
181,Unable to upload files to the dashboard.,Technical,Medium
182,Email verification link is not working.,Account,Low
183,Tracking status has not been updated.,Delivery,High
184,My order has not been delivered yet.,Delivery,High
185,My account has been locked without any reason.,Account,Medium
186,Payment failed but money was deducted from my bank account.,Billing,High
187,The app crashes whenever I try to log in.,Technical,High
188,Website is loading very slowly.,Technical,Medium
189,Unable to update my billing details.,Billing,High
190,Tracking status has not been updated.,Delivery,Medium
191,Notifications are not working properly.,Technical,High
192,Error 500 showing while submitting the form.,Technical,High
193,Invoice amount does not match the agreed pricing.,Billing,Medium
194,Received a damaged product.,Delivery,High
195,The app crashes whenever I try to log in.,Technical,Medium
196,Unable to update my billing details.,Billing,High
197,Need to update my profile information.,Account,Low
198,I forgot my password and cannot reset it.,Account,Low
199,Refund has not been processed yet.,Billing,Medium
200,Refund has not been processed yet.,Billing,Medium
201,Received a damaged product.,Delivery,Medium
202,Notifications are not working properly.,Technical,Medium
203,Delivery address needs to be changed.,Delivery,Medium
204,Not receiving OTP on my registered number.,Account,Medium
205,Invoice amount does not match the agreed pricing.,Billing,Medium
206,Unable to upload files to the dashboard.,Technical,Medium
207,I forgot my password and cannot reset it.,Account,Low
208,My account has been locked without any reason.,Account,Low
209,Error 500 showing while submitting the form.,Technical,Medium
210,Not receiving OTP on my registered number.,Account,Low
211,Unable to update my billing details.,Billing,High
212,I was charged twice for my subscription this month.,Billing,Medium
213,Order shows delivered but I have not received it.,Delivery,High
214,Delivery address needs to be changed.,Delivery,Medium
215,Payment failed but money was deducted from my bank account.,Billing,Medium
216,Unable to upload files to the dashboard.,Technical,High
217,Need to update my profile information.,Account,Low
218,Order shows delivered but I have not received it.,Delivery,Medium
219,Order shows delivered but I have not received it.,Delivery,Medium
220,Email verification link is not working.,Account,Low
221,Not receiving OTP on my registered number.,Account,Medium
222,I was charged twice for my subscription this month.,Billing,Medium
223,Unable to update my billing details.,Billing,High
224,Website is loading very slowly.,Technical,Medium
225,Need to update my profile information.,Account,Low
226,I was charged twice for my subscription this month.,Billing,Medium
227,Error 500 showing while submitting the form.,Technical,High
228,I forgot my password and cannot reset it.,Account,Medium
229,I forgot my password and cannot reset it.,Account,Medium
230,My account has been locked without any reason.,Account,Low
231,Payment failed but money was deducted from my bank account.,Billing,Medium
232,Delivery address needs to be changed.,Delivery,Medium
233,My account has been locked without any reason.,Account,Medium
234,Email verification link is not working.,Account,Medium
235,Refund has not been processed yet.,Billing,Medium
236,Unable to update my billing details.,Billing,High
237,Website is loading very slowly.,Technical,Medium
238,I was charged twice for my subscription this month.,Billing,High
239,Order shows delivered but I have not received it.,Delivery,High
240,Delivery address needs to be changed.,Delivery,Medium
241,Need to update my profile information.,Account,Low
242,Need to update my profile information.,Account,Medium
243,I was charged twice for my subscription this month.,Billing,High
244,I forgot my password and cannot reset it.,Account,Medium
245,Website is loading very slowly.,Technical,High
246,The app crashes whenever I try to log in.,Technical,Medium
247,Order shows delivered but I have not received it.,Delivery,Medium
248,I forgot my password and cannot reset it.,Account,Medium
249,Not receiving OTP on my registered number.,Account,Low
250,I was charged twice for my subscription this month.,Billing,Medium
251,Unable to upload files to the dashboard.,Technical,High
252,Website is loading very slowly.,Technical,Medium
253,The app crashes whenever I try to log in.,Technical,High
254,Error 500 showing while submitting the form.,Technical,Medium
255,My order has not been delivered yet.,Delivery,Medium
256,Email verification link is not working.,Account,Low
257,Delivery address needs to be changed.,Delivery,High
258,Refund has not been processed yet.,Billing,Medium
259,I forgot my password and cannot reset it.,Account,Medium
260,Notifications are not working properly.,Technical,High
261,Need to update my profile information.,Account,Medium
262,Unable to upload files to the dashboard.,Technical,Medium
263,My account has been locked without any reason.,Account,Low
264,My order has not been delivered yet.,Delivery,Medium
265,Email verification link is not working.,Account,Low
266,I forgot my password and cannot reset it.,Account,Medium
267,Email verification link is not working.,Account,Low
268,Email verification link is not working.,Account,Medium
269,My order has not been delivered yet.,Delivery,Medium
270,Not receiving OTP on my registered number.,Account,Medium
271,Order shows delivered but I have not received it.,Delivery,High
272,Delivery address needs to be changed.,Delivery,High
273,Notifications are not working properly.,Technical,Medium
274,Delivery address needs to be changed.,Delivery,High
275,Error 500 showing while submitting the form.,Technical,High
276,Email verification link is not working.,Account,Low
277,Payment failed but money was deducted from my bank account.,Billing,High
278,Error 500 showing while submitting the form.,Technical,High
279,My order has not been delivered yet.,Delivery,High
280,Refund has not been processed yet.,Billing,High
281,Unable to upload files to the dashboard.,Technical,Medium
282,Email verification link is not working.,Account,Low
283,Received a damaged product.,Delivery,Medium
284,Unable to upload files to the dashboard.,Technical,High
285,The app crashes whenever I try to log in.,Technical,Medium
286,Tracking status has not been updated.,Delivery,Medium
287,Invoice amount does not match the agreed pricing.,Billing,Medium
288,Received a damaged product.,Delivery,Medium
289,Tracking status has not been updated.,Delivery,Medium
290,Delivery address needs to be changed.,Delivery,Medium
291,Website is loading very slowly.,Technical,Medium
292,Unable to upload files to the dashboard.,Technical,High
293,Email verification link is not working.,Account,Low
294,Received a damaged product.,Delivery,Medium
295,I was charged twice for my subscription this month.,Billing,Medium
296,Refund has not been processed yet.,Billing,High
297,My order has not been delivered yet.,Delivery,High
298,Received a damaged product.,Delivery,High
299,Tracking status has not been updated.,Delivery,Medium
300,My order has not been delivered yet.,Delivery,Medium
